IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
531,2268683.021300001,533588.7610999998,1735094.2601999997,424924.53300000005,653,113,0.23519758207307545,0.18730008952793667,TRUE
150,2236890.1094000023,466881.0787999998,1770009.0306000002,295165.96069999994,736,127,0.2087188265699966,0.13195371532094255,TRUE
271,2203232.9226999995,271719.82080000004,1931513.1018999992,173886.21809999994,633,81,0.12332777801223808,0.07892321157170587,TRUE
210,2167697.7358000013,221910.52500000002,1945787.2108000016,135812.3076,630,51,0.10237152594436912,0.06265278842018888,TRUE
292,2059743.2076,259197.9850999999,1800545.2225000006,69215.6629,742,80,0.12583995138016052,0.03360402531956867,TRUE
362,2011324.7190999982,286259.42690000014,1725065.292199999,69013.3521,593,64,0.14232382478155584,0.034312386977912356,TRUE
211,1944596.2934000017,258650.2097,1685946.0837000017,93825.8846,614,75,0.13300972061803468,0.04824954409223493,TRUE
551,1920875.002299999,152761.59300000005,1768113.4092999992,52865.066999999995,810,41,0.07952708677924791,0.027521346749112215,TRUE
272,1871647.895500001,224658.64459999997,1646989.2509000003,126277.19600000001,621,81,0.12003253664332178,0.06746845723685956,TRUE
31,1870766.762999999,65651.1195,1805115.6434999993,50770.5388,884,25,0.03509316115640228,0.027138892888273976,TRUE
662,1798385.892500001,393105.8854,1405280.0071000005,180984.77599999998,594,91,0.2185881723379899,0.10063734193800115,TRUE
280,1685394.1116999995,219149.18320000006,1466244.9285,83023.2783,512,53,0.13002844953513676,0.04926045351864749,TRUE
802,1652692.5466000002,58585.27229999999,1594107.2742999995,26465.4222,505,16,0.03544837932531642,0.01601351821574192,TRUE
141,1638094.1809000014,251163.91750000004,1386930.2634000008,86912.4009,457,69,0.15332690905598945,0.05305702316349637,TRUE
281,1617935.9818000013,328978.63359999994,1288957.3482000018,150123.36129999996,522,80,0.20333229330495609,0.09278696004583772,TRUE
310,1586012.8568000013,98904.60620000001,1487108.2506000015,26841.919799999996,460,27,0.062360532435754415,0.01692415019519908,TRUE
422,1563384.0958000016,220402.35940000004,1342981.7364000008,67231.9556,586,54,0.1409777418051689,0.043004118937001616,TRUE
32,1383885.01,247525.26049999995,1136359.7495000008,166394.45499999996,740,108,0.17886259242016064,0.12023719730875614,TRUE
40,1341575.884400001,120673.75629999996,1220902.1281000003,86929.15680000001,622,41,0.08994925870627841,0.06479630247593317,TRUE
291,1341218.7887999988,272029.32249999995,1069189.4662999995,108020.2433,349,57,0.2028224811429813,0.08053886823092207,FALSE
640,1323259.7800999996,97786.44179999999,1225473.3382999995,15504.7078,389,26,0.07389814401568995,0.011717055133972483,FALSE
561,1305127.3513999993,109316.10590000002,1195811.2455000004,44415.1353,488,39,0.08375895714907633,0.034031265418164945,TRUE
511,1288690.3062999991,141034.1001,1147656.2061999997,61572.145599999996,395,30,0.10943987039440657,0.04777885369277107,FALSE
