OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
630,34424382.57379997,3933388.108200005,30490994.465599984,1453688.445399999,9767,974,0.1142616893641446,0.04222845369219159,TRUE
2320,34035771.1288,2441103.8736,31594667.255200036,911399.1071999992,10667,627,0.07172171490877181,0.026777683506891428,TRUE
4030,33496624.152800053,8588744.999199994,24907879.15360007,6217982.3903999915,9608,2339,0.25640628619830763,0.18563012087533654,TRUE
7200,33410892.37010006,7607194.155799991,25803698.21430005,4431752.347200002,9497,1735,0.22768605134916395,0.1326439383332978,TRUE
5510,33193845.496699903,6796976.048000006,26396869.448700003,4111582.621699999,8849,1616,0.20476615307122986,0.12386581187493834,TRUE
205,32364965.595,1951319.5657000027,30413646.029299967,1079609.549,14400,603,0.060291105824671676,0.03335735197465456,TRUE
2010,32222043.09249989,3847390.232499995,28374652.859999888,765029.4331000008,9401,946,0.11940242961798801,0.023742424740226097,TRUE
3930,31983396.147899885,4798350.347899991,27185045.79999993,1644270.2939000006,8560,1049,0.15002629257103028,0.05141012187375129,TRUE
4050,30478779.217600007,3435377.5751000037,27043401.64250004,2144755.0629000003,8465,854,0.11271375242996087,0.07036879815913064,TRUE
410,30138497.607800037,4101684.7650000025,26036812.84280006,1152133.3062999998,9341,1039,0.13609453325697496,0.038227960839090414,TRUE
350,29619663.51339997,3372718.870300004,26246944.643099964,680044.2010000001,9259,876,0.11386756195843285,0.022959214262928657,TRUE
3420,28362624.985700145,3267574.4306999985,25095050.555000123,1223186.0506000002,8373,782,0.11520705267398355,0.043126687012105036,TRUE
8740,28180692.112700026,5527407.715499998,22653284.397200003,2547353.990000005,8175,1389,0.19614165945232387,0.09039359217341592,TRUE
7700,28174287.851700068,4814636.809199994,23359651.042500045,1923801.9863999987,8610,1200,0.17088761336373845,0.06828218681253781,TRUE
110,27510883.1516999,6625981.556899995,20884901.594799884,2323785.4792000027,7706,1577,0.24084946747667657,0.08446786191436445,TRUE
6050,27484759.1944,11631570.973299976,15853188.221100057,9483029.394600006,9511,3380,0.4232007597748901,0.3450286512436378,TRUE
4510,26046345.03779998,5055536.000199999,20990809.037599977,1805501.4141000002,7563,1200,0.1940977128600235,0.06931880121682144,TRUE
6200,25899992.46390011,5275027.634099998,20624964.829800088,3126568.5865000016,8217,1291,0.20366907988303196,0.12071696896660765,TRUE
3850,25578778.297200046,1595111.306,23983666.991200067,189953.89109999998,7243,341,0.06236073073805121,0.0074262300135262155,TRUE
9640,25001624.766500026,8797091.722100005,16204533.044400003,6133516.136899994,6399,2135,0.3518608012183005,0.2453247016617242,TRUE
7340,24578915.416600075,4628129.264199997,19950786.152400065,2505594.453099999,7413,1114,0.18829672447931764,0.10194080620041412,TRUE
6440,24462672.424300052,6007103.044000002,18455569.380300015,4019048.8303999975,6962,1310,0.2455620113701409,0.1642931222186365,TRUE
1050,24387229.938500028,4388646.2881,19998583.65040004,1731770.6618000013,6917,1065,0.17995673551966884,0.07101137218811643,TRUE
1530,24266666.36660002,5713464.3205,18553202.04609994,2397514.2613999983,6895,1430,0.23544496117372996,0.09879866583981521,TRUE
4840,23526756.940700024,2147629.416999999,21379127.523699965,873838.5111,6483,509,0.09128454986010909,0.03714232749131294,TRUE
2300,23342806.60479992,3106664.1831000014,20236142.42169996,1202865.1781000001,6950,799,0.133088717038044,0.051530443552261544,TRUE
5610,22651053.658899926,4956733.879100004,17694319.779800013,2814115.074200001,6367,1184,0.21883016806824931,0.12423771170107553,TRUE
9600,22457252.95140005,4891056.583399997,17566196.368000004,3325061.803900003,5832,1144,0.217794072765034,0.148061822659067,TRUE
4810,22107187.666500013,2862600.572399999,19244587.09409998,1069966.786600001,6573,704,0.1294873240135299,0.048399045719477396,TRUE
3645,21233160.92459999,3444236.8444,17788924.080200054,1084125.4263999993,5960,843,0.16221027366724416,0.051058126967048506,TRUE
5940,21043119.840699982,2489035.9531000014,18554083.8876,1096068.1062999999,6277,620,0.11828264876797878,0.0520867682452708,TRUE
6420,21005311.720800012,11701433.714399993,9303878.006400032,9712061.508500004,5648,2823,0.5570702244238978,0.4623621699878353,TRUE
3500,20934302.781400032,3458044.0830999976,17476258.698300034,878255.3350999998,6017,815,0.16518553874038944,0.04195292980477587,TRUE
8140,20481579.871099975,4194568.1149,16287011.756199997,2703941.745099998,6352,1037,0.20479709774823776,0.1320182213538775,TRUE
740,19950181.350400046,2607161.4098000024,17343019.94060002,1131379.2263999993,6144,680,0.13068359450014339,0.0567102226555606,TRUE
9140,19722446.423699938,11514499.428499999,8207946.995199994,5037955.8545,4901,2563,0.5838271369145833,0.25544274509708,TRUE
735,19220068.527900033,2303512.0546,16916556.47329997,890157.8101000007,5276,559,0.11984931537867308,0.0463139769146941,TRUE
850,18967524.548800033,2464076.624500004,16503447.924299985,599730.1828,5501,659,0.1299102905157907,0.031618790383373535,TRUE
1006,18732996.108900018,3757962.1884000013,14975033.920500066,1671951.997800001,5222,924,0.20060657497358894,0.0892517132913757,TRUE
4010,18341837.513799947,3038614.467099997,15303223.046699986,1638411.6724,5354,740,0.16566576084941428,0.08932647403332951,TRUE
1360,18272768.736199975,3580751.6712,14692017.065000016,1395207.3682000004,5541,862,0.19596108958059616,0.07635445883118801,TRUE
7315,18189111.22840003,3329753.801899998,14859357.426499994,1934725.377200001,5190,737,0.18306302930849103,0.1063672299820328,TRUE
9120,17692163.612999998,2716683.7848999994,14975479.828100005,608886.5662000001,5431,635,0.15355294266574673,0.03441560792217619,TRUE
3320,17629536.47140001,2876232.991399997,14753303.47999999,841429.4034000001,5310,680,0.16314853178732425,0.04772839063381113,TRUE
4000,17542969.95769995,6265483.370300007,11277486.587400004,4043558.033700003,4775,1492,0.3571506640784028,0.23049449685258147,TRUE
420,17032113.990299977,1430763.2222999998,15601350.767999955,343679.6897000001,5753,426,0.08400385431396473,0.02017833428637986,TRUE
1550,16439731.659499986,2675805.2072999994,13763926.452199986,1042737.4426000001,4966,656,0.16276453063354832,0.06342788703594417,TRUE
1760,16309238.348399991,6115749.165200005,10193489.183199983,3656895.1000999985,4649,1640,0.3749868040772111,0.2242223102011846,TRUE
4520,15839028.639700014,8782788.286499994,7056240.353199984,3396305.411799999,4181,2199,0.5545029614054878,0.2144263697640693,TRUE
4040,15810229.147899983,1836151.647600001,13974077.500299988,1024034.9085,4630,444,0.11613694086425626,0.0647704026880609,TRUE
