STATEFIP,nat_epop_prime_pre,nat_unrate_prime_pre,for_epop_prime_pre,for_unrate_prime_pre,for_pop_pre,tot_pop_pre,construction_emp_share_pre,n_obs_pre,n_for_obs_pre,nat_epop_prime_post,nat_unrate_prime_post,for_epop_prime_post,for_unrate_prime_post,for_pop_post,tot_pop_post,construction_emp_share_post,n_obs_post,n_for_obs_post,state_name,d_nat_epop,d_nat_unrate,d_for_epop,d_for_unrate,d_log_for_pop,for_share_pre
33,0.8507538906261737,0.022022726890475363,0.8263703887739697,0.040684201610034575,1070037.2679999988,14086364.967499968,0.066270194211404,12386,850,0.8557908224183834,0.02446473011884086,0.8273808873196319,0.03831278724614145,1066173.0351999998,13093705.96079993,0.066242411040661,11255,842,New Hampshire,0.0050369317922097645,0.0024420032283654983,0.001010498545662153,-0.002371414363893126,-0.003617843251717545,0.07596262559352868
34,0.8317944722073234,0.03959398274379197,0.8069212314394308,0.04468610230953248,27666343.638800003,89787329.06669904,0.06103367966496778,18280,5552,0.813296223849453,0.0404787896372305,0.8254010657711162,0.04022218665380157,26184378.22040005,84978377.0562004,0.05629741679587391,17262,5055,New Jersey,-0.018498248357870395,8.848068934385264e-4,0.01847983433168532,-0.004463915655730913,-0.05505366154541491,0.30813193717175724
35,0.7673712339523918,0.035480870143590644,0.763632412035828,0.035608927264029575,2521305.241800003,20364771.06310001,0.07609404551775616,15371,1937,0.7728450107463329,0.039196310246379644,0.7379520411697775,0.02971961625855309,2432920.375499995,18843165.089800127,0.08023255469724716,18486,2461,New Mexico,0.005473776793941121,0.003715440102789,-0.02568037086605046,-0.005889311005476485,-0.0356843841417156,0.12380719792958968
36,0.8097527122927577,0.03667565313558264,0.7749509605718632,0.03866999771066772,52411658.7850002,190323127.01259798,0.06540981323537552,36638,9760,0.8065117387100759,0.04274288454366145,0.7812905786108607,0.04291279674042743,50902346.83350005,179639872.0780009,0.06305497399287209,30892,8425,New York,-0.0032409735826818276,0.006067231408078813,0.006339618038997519,0.004242799029759714,-0.02922003323328326,0.27538250136848025
37,0.8031251456529906,0.03226719517244179,0.7916167980199369,0.025955742529029026,13286246.953200007,104633101.9428008,0.09437868631475772,23347,2892,0.801848673375608,0.03366996125058395,0.7830570028530682,0.02767486889179659,11428554.049100002,98962583.84459965,0.08309324862611722,19284,2076,North Carolina,-0.0012764722773827009,0.0014027660781421591,-0.008559795166868667,0.001719126362767564,-0.15061447163218133,0.12697938517069984
38,0.8734151537117791,0.02362642893849843,0.821768991576668,0.049170038744707774,443008.52309999964,7294307.977900033,0.06964381759690545,13716,716,0.8716266757718326,0.023015009461923835,0.810377910792134,0.04045205352883905,493190.0789999996,6843870.98459994,0.08101016704380776,12343,840,North Dakota,-0.00178847793994652,-6.114194765745942e-4,-0.011391080784534102,-0.008717985215868723,0.10730564615264626,0.06073345469401717
39,0.8220544252118651,0.032703010145784764,0.7452496796288933,0.0806340908612671,7926450.902300008,112818495.76180036,0.05573678487960229,24386,1603,0.8178233544303493,0.03381198527766773,0.7980729995298765,0.03679817216916743,6897077.0806999905,104970354.67689995,0.06366006210877705,19847,1153,Ohio,-0.0042310707815158555,0.001108975131882968,0.05282331990098321,-0.04383591869209968,-0.1391076717992128,0.07025843456586711
40,0.7906671700344243,0.02822758595532835,0.7980805868929453,0.02980606468948087,3161438.557800003,37910765.979599886,0.07728160492070818,14253,1109,0.7983911943583416,0.04352351092926394,0.7726935780124771,0.03783479817606772,2950714.825799997,35372893.01260018,0.07360404040154113,12842,1006,Oklahoma,0.007724024323917278,0.015295924973935587,-0.025387008880468187,0.00802873348658685,-0.06897970898976169,0.08339157693361302
41,0.8258360718312813,0.034476212162649074,0.7790719111864203,0.031871300550613844,4670225.1913000075,41737857.97690055,0.06736474618774987,15680,1699,0.8079409577189204,0.043070040442138594,0.7981052628201335,0.03659013207912915,3878397.7580000046,38826072.96719979,0.06610062925044312,14437,1364,Oregon,-0.017895114112360888,0.00859382827948952,0.019033351633713225,0.004718831528515308,-0.1857851719741319,0.11189422307883415
42,0.8254410332113241,0.03133300438649874,0.7910808425954456,0.03709795285718245,13341889.969599988,125999750.79259981,0.06581703439496207,26775,2589,0.8374360615861541,0.030096561802117543,0.7836391268555942,0.046871209274526406,13511639.124600027,117081935.72019991,0.06394955723038959,22208,2224,Pennsylvania,0.011995028374830019,-0.001236442584381197,-0.007441715739851418,0.009773256417343959,0.012642764044159094,0.10588822506134338
