state_name,industry_name,emp_start,emp_end,growth
Pennsylvania,Professional and Business Services,834.4,834.3,-1.1984659635666528e-4
Pennsylvania,Leisure and Hospitality,571.4,583.6,0.02135106755337768
Pennsylvania,Government,707.4,700.1,-0.010319479785128594
Rhode Island,Mining and Logging,0.1,0.2,1
Rhode Island,Construction,22.5,22.3,-0.008888888888888835
Rhode Island,Manufacturing,39.4,40.2,0.020304568527918843
Rhode Island,Professional and Business Services,68.4,68.8,0.005847953216374213
Rhode Island,Leisure and Hospitality,61.1,59.3,-0.029459901800327426
Rhode Island,Government,67.2,64.6,-0.038690476190476275
South Carolina,Mining and Logging,4.7,4.8,0.02127659574468077
South Carolina,Construction,121.1,129,0.06523534269199005
South Carolina,Manufacturing,262.5,264.8,0.008761904761904749
South Carolina,Professional and Business Services,316.1,313.7,-0.007592534008225349
South Carolina,Leisure and Hospitality,282,287.3,0.01879432624113475
South Carolina,Government,393.5,401.1,0.019313850063532367
South Dakota,Mining and Logging,1.1,1.2,0.09090909090909083
South Dakota,Construction,30,30.4,0.013333333333333197
South Dakota,Manufacturing,44.4,44,-0.009009009009009028
South Dakota,Professional and Business Services,37.3,37,-0.008042895442359144
South Dakota,Leisure and Hospitality,50.9,54.2,0.06483300589390972
South Dakota,Government,82.2,80.8,-0.017031630170316392
Tennessee,Mining and Logging,4.4,4.3,-0.022727272727272818
Tennessee,Construction,164.7,165.6,0.005464480874316946
Tennessee,Manufacturing,359.4,355.5,-0.01085141903171949
Tennessee,Professional and Business Services,446.7,450.3,0.008059100067159264
Tennessee,Leisure and Hospitality,365.5,371.3,0.015868673050615678
Tennessee,Government,453.8,457.3,0.007712648743940065
Texas,Mining and Logging,213.7,211.9,-0.008423022929340163
Texas,Construction,885.1,923.3,0.04315896508869055
Texas,Manufacturing,987.1,980.6,-0.006584945800830688
Texas,Professional and Business Services,2115.9,2186.1,0.03317737133134835
Texas,Leisure and Hospitality,1528.7,1556.2,0.01798914110028127
Texas,Government,2128.8,2128.8,0
Utah,Mining and Logging,11.5,10.8,-0.060869565217391286
Utah,Construction,142.3,145.4,0.021784961349262
Utah,Manufacturing,153.9,154.6,0.00454840805717982
Utah,Professional and Business Services,250.3,260.9,0.04234918098282048
Utah,Leisure and Hospitality,177.4,177.8,0.0022547914317925244
Utah,Government,276.2,276.2,0
Vermont,Mining and Logging,0.8,0.9,0.125
Vermont,Construction,16.3,16.5,0.012269938650306678
Vermont,Manufacturing,27.5,27.8,0.01090909090909098
Vermont,Professional and Business Services,32.7,31.4,-0.03975535168195732
Vermont,Leisure and Hospitality,35.6,35.2,-0.011235955056179692
Vermont,Government,56.2,57.3,0.019572953736654686
Virginia,Mining and Logging,7,6.4,-0.08571428571428563
Virginia,Construction,223.3,224.9,0.0071652485445588
Virginia,Manufacturing,240.9,230.5,-0.04317144043171439
Virginia,Professional and Business Services,815.2,785.6,-0.036310107948969605
Virginia,Leisure and Hospitality,418,423.9,0.01411483253588508
Virginia,Government,764.3,757.7,-0.008635352610231517
Washington,Mining and Logging,5.1,5.1,0
Washington,Construction,220.1,215.5,-0.02089959109495676
Washington,Manufacturing,274.8,275.8,0.00363901018922852
Washington,Professional and Business Services,539.9,550.2,0.01907760696425287
Washington,Leisure and Hospitality,344.7,348.8,0.011894400928343485
Washington,Government,620.7,607.1,-0.021910745932012254
West Virginia,Mining and Logging,21,19.5,-0.0714285714285714
West Virginia,Construction,32.7,35,0.07033639143730874
West Virginia,Manufacturing,45.6,45.1,-0.010964912280701733
West Virginia,Professional and Business Services,71.8,73,0.01671309192200554
West Virginia,Leisure and Hospitality,71.4,71.9,0.007002801120448154
West Virginia,Government,147.7,147.8,6.770480704132442e-4
