yr,agegrp,sexlab,epop,lfpr,unrate,n,months
2018,35-54,Women,0.7520068772684031,0.7744958185026135,0.029046050033541517,158505,12
2019,35-54,Women,0.7602453919155522,0.7817762635191285,0.027552642349457996,150429,12
2020,35-54,Women,0.7281560818135472,0.7743948268546338,0.05996820964700065,133680,12
2021,35-54,Women,0.7381156032367766,0.7707347611790105,0.04236153977141938,132698,12
2022,35-54,Women,0.7591486822909727,0.7795989471882877,0.026238939747543526,125383,12
2023,35-54,Women,0.7729244377311072,0.7923354014246301,0.024508195610316554,122128,12
2024,35-54,Women,0.7798925565924569,0.8017071020850626,0.02721698313369122,120691,12
2025,35-54,Women,0.7750766733786928,0.7995065522241647,0.03055419428869902,106199,11
2026,35-54,Women,0.7755143629720093,0.8012770125171017,0.032149575895031986,74369,8
2015,55+,Men,0.4340018657334666,0.450476095114722,0.03656007531002465,191243,12
2016,55+,Men,0.437822920011765,0.4541442324642086,0.035934856668874575,195014,12
2017,55+,Men,0.4394445749217444,0.4533409207748594,0.03066064061133644,196680,12
2018,55+,Men,0.44012662063286684,0.4532210895594631,0.028908088717316135,192963,12
2019,55+,Men,0.4427138590435053,0.4540860548853037,0.025074978888302204,190793,12
2020,55+,Men,0.4160766652938847,0.44192219707693575,0.058540540080143,178522,12
2021,55+,Men,0.41416154213810946,0.43094536148929513,0.03896115495337925,176942,12
2022,55+,Men,0.42304682644720687,0.43413019830802285,0.025519719267185298,170297,12
2023,55+,Men,0.41367860211235397,0.42456996966667876,0.025650200913423207,167586,12
2024,55+,Men,0.4095153327338339,0.4216282106647576,0.028737191668245288,165978,12
2025,55+,Men,0.4073503974466904,0.4193441104962927,0.028601461732474232,150456,11
2026,55+,Men,0.3901093105953013,0.4026369457065653,0.03111051941195437,108913,8
2015,55+,Women,0.33876611630202375,0.35104749637925864,0.03499619880444549,221892,12
2016,55+,Women,0.33889763611838625,0.35043088240274084,0.032923916454800875,225534,12
2017,55+,Women,0.3399430479909446,0.35053507413920165,0.030211159031643436,227202,12
2018,55+,Women,0.3411509333268878,0.35079071226011954,0.027510827552122655,222679,12
2019,55+,Women,0.34384230593467047,0.35319479323825465,0.026513250155990712,219770,12
2020,55+,Women,0.32039934252675967,0.3438347508728381,0.06830161789574847,205157,12
2021,55+,Women,0.3212347372952009,0.33440421845868057,0.03938083620893126,203281,12
2022,55+,Women,0.3269302438895469,0.33545687353315073,0.02541409752422964,197219,12
2023,55+,Women,0.3258493222837328,0.33405659423177675,0.02454698556037185,194561,12
2024,55+,Women,0.32610381724456544,0.33481338894371454,0.026028403650343816,192683,12
2025,55+,Women,0.3229883616629234,0.33269036221445525,0.02917854010826012,172429,11
2026,55+,Women,0.3127091315086445,0.3223754789714368,0.030025847279446325,124130,8
