OCC2010,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
1005,312014.1420999999,312014.1420999999,0,23141.575299999997,23141.575299999997,0,100728.6207,39.58557765374721,98,235266.29260000002,235266.29260000002,0,22804.1814,22804.1814,0,53576.77849999999,40.99224278003135,77,0.2855811445441347,1458201.9526,-0.28233048142285533,-0.014686882489000297,-0.6313142395578168,0,0,1.406665126284139
1006,5120495.963400003,5283515.883700002,163019.92030000003,1274597.4828000003,1355346.9097000007,80749.4269,1317099.2770000002,41.16424791323415,1460,4430440.5760999955,4645830.362499995,215389.78639999998,1230488.5312999997,1319822.7835999997,89334.25230000001,1564337.7593999999,41.51968476123772,1224,0.20060657497358897,18732996.108900014,-0.14475227025541137,-0.03521915855406199,0.17203077641359776,0.015507517430921155,0.008108131503678583,0.35543684800357056
1007,2513359.9963999987,2523159.819899998,9799.823499999999,720537.5709000007,721795.6262000008,1258.0553,421106.41470000014,42.060085619208536,712,2807415.1287000002,2881471.4215,74056.29280000001,537830.7154,552007.0538,14176.338399999999,527925.7344000001,40.56676147679225,700,0.13606055428404537,7820785.839799991,0.11064367502601336,-0.29245370441632623,0.2260700510174054,0.02181691094475037,0.023938492055127995,-1.4933241424162844
1010,3186311.242499997,3281769.201299997,95457.9588,926574.8718000004,976879.6988000004,50304.827000000005,981148.0972999998,40.99618253201815,926,2924707.4000999997,3037189.1486,112481.7485,914177.9636999996,964938.1074999996,50760.1438,1033859.7280000001,40.32062896510737,837,0.2663654820448935,14322098.43449998,-0.08566945586817454,-0.013469592757044069,0.052330972472820037,0.007947471601736266,0.0011091426588249326,-0.6755535669107857
1020,16405274.574800003,16974275.249099977,569000.6743000001,2878556.7258000015,2999880.0565,121323.33070000003,9418792.661400007,41.214458628199736,4761,16825905.5749,17422514.278099995,596608.7032000002,2727534.3684999966,2841806.559699998,114272.19119999997,10985057.071899999,41.38691624293592,4191,0.3819525563845032,78478964.98780008,0.02531679372019724,-0.053890992282832784,0.15382898846782567,7.221948527811051e-4,-2.3161892992464017e-4,0.1724576147361816
1030,1430420.2134000007,1483776.831600001,53356.6182,428702.73870000016,469895.7044000001,41192.9657,229970.603,39.41493465575003,439,1354738.8066000007,1460642.8978000002,105904.09119999998,437944.87379999977,507293.73769999977,69348.86389999998,189046.1555,37.64261004274835,390,0.1269242761605804,5675408.797199999,-0.05435958353548287,0.021329281584428372,-0.19596029347074584,0.03654511954417773,0.04903950685422381,-1.772324613001679
1050,6372948.41240001,6582535.817300008,209587.40489999996,3208825.3795000026,3339895.1495000036,131069.77000000003,1370089.4678000002,39.835426480974945,1910,5933379.704899993,6073711.341599996,140331.63670000003,2828592.002299999,2923784.6260999986,95192.6238,1273466.7894999997,40.42078954197609,1607,0.17995673551966884,24387229.938500028,-0.07146823755535614,-0.12612588262635605,-0.07313310570506282,-0.008735159658608226,-0.0066856630300185516,0.5853630610011464
1060,1162095.2623000003,1180724.7373000002,18629.475,249208.73099999994,249208.73099999994,0,501391.0652000003,42.93751782038346,364,1049859.3261999998,1116579.1594999996,66719.8333,303034.7318,305930.6033,2895.8715,340378.41309999995,42.61850767442406,291,0.2932391377534058,4892248.068899991,-0.10156845624838162,0.19555660292778754,-0.3873283874472424,0.04397578695062778,0.009465779064804008,-0.31901014595940325
1105,1766296.9058000015,1817802.3448000008,51505.439,726912.2401999998,772413.8759,45501.6357,396803.487,41.454976895694465,545,1496423.0863999992,1543737.8097999992,47314.723399999995,840092.4380999999,864967.6457999998,24875.2077,264752.04559999995,40.604557414582324,443,0.16919318240017434,6871046.2738999985,-0.16580756004690222,0.14470617588620094,-0.40464745218839226,0.0023155505319341838,-0.03014982010785372,-0.8504194811121408
1106,1173067.0600999992,1232045.9057999998,58978.84569999999,539511.1473000001,585402.2476999997,45891.100399999996,476186.76370000007,41.69543076545416,362,839358.2725999997,878871.8509999998,39513.5784,435003.54760000005,435003.54760000005,0,263151.78049999994,43.25931658827739,234,0.2290311633953915,4091716.284399997,-0.33473937807524656,-0.21530926030688846,-0.5930791601124881,-0.002911224908413834,-0.07839242261249012,1.5638858228232309
