STATEFIP,nat_epop_0,nat_lfpr_0,nat_unrate_0,for_epop_0,for_pop_0,nat_n_0,per_0,nat_epop_1,nat_lfpr_1,nat_unrate_1,for_epop_1,for_pop_1,nat_n_1,per_1,foreign_share,emp_tot,d_epop,d_lfpr,d_unrate,d_log_for_pop
39,0.8199985774610741,0.8467136265328818,0.03155145758218435,0.770260689627601,4692799.6417000005,9678,pre,0.8178233544303493,0.8464432822274022,0.03381198527766773,0.7980729995298765,4105648.1940000034,7468,post,0.07228599463282456,203060376.953499,-0.0021752230307248155,-2.7034430547967503e-4,0.0022605276954833844,-0.13366570891882112
40,0.7936884853601416,0.819041048625985,0.030953959277590627,0.7882032675174503,2249728.0615000012,5794,pre,0.7983911943583416,0.8347211912485348,0.04352351092926394,0.7726935780124771,1854231.4538000033,4873,post,0.09497474350150298,68066880.59649989,0.0047027089982000225,0.015680142622549798,0.01256955165167331,-0.19333904776733135
41,0.8253570079678036,0.8516308678416706,0.03085123011153321,0.7800521082883023,3060852.6435999973,6340,pre,0.8079409577189204,0.8443052175858499,0.043070040442138594,0.7981052628201335,2409181.0771999997,5776,post,0.12659808603159045,75340795.57980001,-0.017416050248883264,-0.00732565025582077,0.012218810330605383,-0.2394066310851617
42,0.8277732060739961,0.8513786074492296,0.027726091739557517,0.8011492958120553,8191058.5258000055,10192,pre,0.8374360615861541,0.8634220981236479,0.030096561802117543,0.7836391268555942,8368376.907000005,8148,post,0.10913546823980748,226345238.76069927,0.009662855512158064,0.012043490674418345,0.002370470062560026,0.021416812132882157
44,0.8360279777075034,0.8655669249189791,0.03412670512362837,0.7789033040202095,1026264.6245999994,2995,pre,0.8351737480948077,0.85751876400064,0.026057757385487074,0.7951721461706047,966066.3981999997,2903,post,0.1715618595516833,20221653.169100083,-8.542296126956561e-4,-0.008048160918339153,-0.008068947738141298,-0.060448344141802224
45,0.787500487909408,0.8164461661657096,0.03545326006274233,0.7569888966565341,3069976.922600001,6457,pre,0.8236559632093711,0.8521231690337914,0.03340738388406797,0.7908849053484696,3140458.6363999993,5303,post,0.09661005784360384,87034733.0213994,0.0361554752999631,0.03567700286808173,-0.002045876178674362,0.022698807299388335
46,0.881212258102183,0.8939579228331535,0.014257566721458892,0.8254222207732976,283809.1292000002,4533,pre,0.8490813802461017,0.8681728185924016,0.021990366361911023,0.7493902165868183,332075.6938,3783,post,0.04878787387035707,17386363.864800088,-0.032130877856081264,-0.025785104240751866,0.007732799640452131,0.1570610043711227
47,0.7882639722494654,0.8074329043916897,0.02374058827422352,0.791565664759375,3352570.6831999943,7438,pre,0.7830482260490444,0.8108343206681566,0.03426852306426276,0.746974090750492,3593377.0821999973,6040,post,0.08462887644905967,118389654.74900036,-0.005215746200420979,0.003401416276466951,0.010527934790039238,0.0693650320679069
48,0.8183061542704727,0.8458273301474767,0.03253758172156104,0.7648616240565175,41612343.11090003,20187,pre,0.8079843660547071,0.8421704494495975,0.040592831792226836,0.7688579339446823,37143379.39960003,17490,post,0.24308961226818732,524194267.84809834,-0.01032178821576557,-0.0036568806978791724,0.008055250070665793,-0.11361129003450188
49,0.814082515714311,0.835102008958059,0.025169970875742482,0.7782983964152577,2363721.3931999984,6885,pre,0.8188051132078245,0.8415644832991594,0.02704411906989094,0.8130154332485661,2295515.344700002,5993,post,0.11539556888885932,62455917.87619996,0.004722597493513447,0.006462474341100477,0.0018741481941484568,-0.029279869249984714
50,0.8500734965923369,0.8666851827695425,0.01916692070830375,0.7698453688159901,213339.06359999994,5361,pre,0.8216747438822523,0.842293650048708,0.024479474783246788,0.8894924414661382,127328.7211,4082,post,0.05591001281326134,12348326.426000116,-0.02839875271008463,-0.024391532720834497,0.0053125540749430385,-0.5161106503951736
