IND1990,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
161,826873.8502999996,860287.5324999993,33413.682199999996,604491.5972999999,632675.4420999999,28183.8448,222539.19849999994,43.73324085108208,217,846037.9818999997,871369.8266999999,25331.844800000003,724540.036,738333.7283,13793.6923,99702.07,42.43014793565825,205,0.18370013105563376,3378094.463699999,0.02291211000878768,0.18114925070328347,-0.8029168200842367,-0.009768843170942686,-0.025864890235385147,-1.3030929154238322
162,799438.4559000009,820629.390500001,21190.9346,616307.1923000003,637498.1269000005,21190.9346,208364.411,42.4779258700681,220,611371.2529000002,637191.6838000001,25820.4309,511445.6273000001,520363.50240000006,8917.875100000001,151121.9918,41.89904648353275,184,0.1592065020534777,2613285.230399998,-0.26820516120547744,-0.18650424877566252,-0.3212011193826374,0.01469945169664567,-0.01610299963202156,-0.5788793865353483
171,1159934.3397000001,1198616.9953000003,38682.655600000006,513715.00139999983,530379.5540999998,16664.5527,118884.74500000002,38.70862392876798,408,736370.6478,772943.9029000001,36573.255099999995,295197.9220000001,305958.1586,10760.236600000002,122282.1443,39.23071090368167,273,0.08835619142748524,4120334.079799998,-0.45438508927093046,-0.5540225862881432,0.028176538479780078,0.01504408900848387,0.0037489296676544506,0.5220869749136909
172,6113507.931900002,6342232.266700003,228724.33479999995,3196048.7556999973,3356993.2685999977,160944.51290000003,1204051.9814,39.90462599877639,1901,4796275.506899997,5050353.034499999,254077.52759999997,2741984.1746,2933836.1673000017,191851.99269999997,801968.5567999993,40.1854704608075,1363,0.15067859396780445,22116325.76629992,-0.24266105738421473,-0.15323347337015392,-0.40637839774416307,0.014245168976459735,0.017449823732652074,0.28084446203111213
180,4551853.1060000025,4644023.231900002,92170.12590000001,3696215.3271000017,3767474.934000003,71259.6069,1251692.2830000003,42.23333215471914,1365,3675562.2637999994,3800882.140099999,125319.87629999999,2707143.2186999996,2797327.1456,90183.92689999999,1002293.2052,42.36766356050355,1044,0.18604815733862015,18400126.9503,-0.2138283081780994,-0.31141549554933157,-0.22220588229964555,0.013124218416429429,0.013324899711024133,0.13433140578440828
181,6217400.936099992,6357164.10919999,139763.17309999999,1616350.6339000012,1655206.299400001,38855.665499999996,2004201.1926999982,42.15090706779346,1782,5194721.836900012,5483978.663200013,289256.82629999984,1519981.7120000005,1544615.3993000002,24633.6873,2165518.809600001,42.47545799863713,1360,0.264053149860085,24897681.301599912,-0.17970888476368785,-0.061472609779334775,0.07741439392355787,0.03076065243476665,-0.007526713140709851,0.3245509308436709
182,1204687.560699999,1233423.2191999992,28735.6585,641160.5700999999,662778.4929,21617.9228,410425.28779999993,41.83860440880766,369,1123984.3195,1154864.0962999996,30879.7768,462263.1180999999,471792.97269999987,9529.8546,351425.61890000006,41.02145965919467,284,0.225422206596737,5320728.796900003,-0.06934044684470919,-0.32714567626300095,-0.15519583107293933,0.0034413990975885322,-0.012417886076517934,-0.8171447496129929
190,673090.2848000003,699978.8809000003,26888.596100000002,453399.4878999998,472835.0177999999,19435.5299,85917.1336,41.05648734780657,185,507751.1773,511513.38670000003,3762.2094,234541.45610000007,238303.66550000006,3762.2094,86441.04209999999,42.93577203949161,121,0.17658584015870285,2284647.644100002,-0.2818879542773729,-0.6591412512702153,0.006079318389476285,-0.031058383480477944,-0.025316793152271748,1.8792846916850365
191,502105.2907999998,502105.2907999998,0,316599.8601999999,316599.8601999999,0,42589.6104,43.36987462892811,162,413319.3559999999,422559.8721999999,9240.5162,284456.52139999985,293697.0375999999,9240.5162,85213.18719999999,42.23285214853533,127,0.0926929635223705,1260057.7742000006,-0.1945892870981396,-0.10705828859722288,0.693545864994876,0.0218679453680505,0.03146274908153858,-1.1370224803927798
192,4433310.380499997,4502754.2074,69443.82690000001,2503482.6132999966,2564747.9265999966,61265.313300000016,531567.0566999997,42.07162751146884,1365,3755938.342199997,3872694.0119999973,116755.6698,2110906.215999999,2190554.7628999986,79648.54690000002,630166.9369000004,43.52311398399376,1055,0.12096450235660632,14541294.63959999,-0.16580842381879002,-0.1705654662656091,0.17015540866256806,0.014725914337332485,0.012472528997094647,1.4514864725249197
200,1935385.9634999998,2013142.3123999997,77756.34889999998,1171467.3377000003,1229255.3278000006,57787.990099999995,402698.6409,45.13770776024789,652,1379138.8470000005,1388734.6501000007,9595.8031,838847.6633000006,840394.7664000005,1547.1031,249567.15959999993,43.654719359157134,486,0.13798016601228089,6750850.423799996,-0.33884749046035445,-0.33398325619480396,-0.4784604371592369,-0.03171462212417067,-0.04516964287993353,-1.4829884010907577
210,577471.0894000002,590341.4818000002,12870.392399999999,489289.5944000001,502159.98680000013,12870.392399999999,70070.12879999999,44.05194974056869,180,721448.8279000005,728021.6710000004,6572.8431,514644.4719999999,517032.2894999999,2387.8175,144050.29859999998,43.66137478856212,168,0.10237152594436912,2167697.7358000013,0.22260307159933035,0.05052178486424452,0.7206659538771554,-0.012773244137246256,-0.0210117495265396,-0.3905749520065669
211,587803.5103999998,594455.2723999999,6651.762,443065.5359000001,448048.8577,4983.3218,74650.11459999999,43.01845589353488,186,407575.33460000006,407575.33460000006,0,320636.31660000014,320636.31660000014,0,85743.91549999999,42.65092077328501,98,0.13300972061803468,1944596.2934000017,-0.36616694028775676,-0.32341018493168683,0.13855306811219315,-0.01118967617722487,-0.011122273194894923,-0.3675351202498689
230,960434.4736999994,981647.4918999993,21213.018199999995,906919.1693999997,928132.1875999997,21213.018199999995,63942.474899999994,40.78202697568738,398,963798.8748999988,992965.2629999989,29166.388099999996,902281.8423999987,931448.2304999985,29166.388099999996,40445.5633,43.9557118870723,310,0.03656905703033665,2829020.1772000035,0.003496877996440162,-0.005126392396929802,-0.45802689555368303,0.007763410848499339,0.008457345766868556,3.1736849113849175
231,1362276.0883,1422825.7112,60549.62290000001,1195629.0900999997,1250481.6605999998,54852.57050000001,160791.11870000002,43.720146147441156,505,1490618.5418000002,1508267.1985000002,17648.6567,1232909.9877000004,1250558.6444000003,17648.6567,141279.48750000002,42.49585734379205,475,0.0957351627957885,5325657.91200001,0.09003426735234399,0.030704736745798655,-0.12936601395341185,-0.0308546160046338,-0.029752535695026824,-1.2242888036491024
241,1933014.5793999995,2015473.9392999993,82459.3599,1561238.7865999998,1641863.5977999999,80624.81119999998,653548.1071000001,41.11465895162639,679,1782030.9878,1826611.3060000006,44580.318199999994,1449076.0319,1476095.6066,27019.574700000005,342552.05279999983,41.19598844392929,565,0.21977554709025623,7766057.539600004,-0.08132702433187511,-0.07455346616738368,-0.6459925197592202,-0.01650711289861921,-0.030800910257391442,0.0813294923028991
242,3300619.348499999,3381886.3609,81267.01240000002,2748199.4393,2798452.132,50252.6927,1050684.6494000002,41.09462636687162,1081,3403581.016,3498224.6864000005,94643.6704,2629740.8636000003,2724384.5339999995,94643.6704,459340.2614000001,41.217522358682615,1000,0.20637244301060523,13112601.697800014,0.030717985127891367,-0.044060637506454725,-0.8274060320433971,0.003024688019318513,0.016782151155056598,0.1228959918109922
250,1209530.5381,1263709.7711000002,54179.233,900960.5125000005,924541.5377000007,23581.025199999996,318791.331,42.59708894958207,366,1173350.797799999,1274337.469399999,100986.6716,955758.5669,1018100.7781999997,62342.21130000001,228450.03810000003,41.758753929633095,330,0.185894847933901,5029883.021999998,-0.030368713961898663,0.05904390572900731,-0.33321921916372865,0.03637325016984873,0.03572818959840578,-0.8383350199489783
251,1335625.3497000004,1370597.4694000003,34972.1197,1125098.5509000004,1160070.6706000005,34972.1197,303339.9224000001,44.44315176904447,412,1623432.77,1667193.7730999999,43761.00310000001,1353157.6304000013,1381130.379900001,27972.7495,331908.5541,44.14146497874651,444,0.19949037349416623,5357867.043299996,0.19514329225429528,0.18457021414356767,0.09000545871357879,7.3233354376619e-4,-0.00989302408096419,-0.301686790297957
262,452102.9502999998,468030.1165999997,15927.1663,376925.41369999986,392852.5799999998,15927.1663,281768.9906999999,43.460920828214704,177,561641.5033999999,603500.5392,41859.0358,403256.8370999999,445115.87289999984,41859.0358,105584.09640000001,42.83236706675721,163,0.2828805794191108,2292299.567299998,0.21695383199860352,0.06752634562207582,-0.9815797956525891,0.03533017830913307,0.053498413116650594,-0.6285537614574963
