date,n_noncit,n_natzd,n_native,n_total,sh_noncit,sh_natzd
2021-11-01,5389,6060,71732,83181,0.06478642959329654,0.07285317560500595
2021-12-01,5388,5900,71571,82859,0.065026128724701,0.07120530057084927
2022-01-01,5521,5950,71858,83329,0.06625544528315472,0.07140371299307564
2022-02-01,5637,5925,72237,83799,0.06726810582465184,0.07070490101313859
2022-03-01,5438,5585,70718,81741,0.06652720177144884,0.06832556489399444
2022-04-01,5770,5958,72602,84330,0.06842167674611645,0.07065101387406617
2022-05-01,5836,6130,73809,85775,0.06803847274846983,0.07146604488487321
2022-06-01,5610,5875,71865,83350,0.06730653869226155,0.07048590281943612
2022-07-01,5434,5889,71222,82545,0.06583075897995033,0.07134290387061602
2022-08-01,5495,6096,72183,83774,0.06559314345739728,0.07276720700933464
2022-09-01,5686,6239,70906,82831,0.06864579686349313,0.07532204126474387
2022-10-01,5623,6236,70435,82294,0.06832818917539553,0.07577709189005274
2022-11-01,5603,6193,69621,81417,0.06881855140818256,0.07606519522949752
2022-12-01,5437,6026,69124,80587,0.06746745753037091,0.07477632868824996
2023-01-01,5330,6060,69690,81080,0.06573754316724223,0.07474099654662063
2023-02-01,5463,5937,68129,79529,0.06869192370078839,0.07465201373084032
2023-03-01,5430,5807,67469,78706,0.06899092826468121,0.07378090615709094
2023-04-01,5620,5961,70042,81623,0.06885314188402779,0.07303088590225794
2023-05-01,5799,5976,70576,82351,0.07041808842637005,0.07256742480358466
2023-06-01,5576,5970,70402,81948,0.06804314931419925,0.072851076292282907
2023-07-01,5569,6022,70662,82253,0.06770573717675951,0.07321313508321885
2023-08-01,5835,6161,71206,83202,0.07013052570851662,0.07404870075238576
2023-09-01,5766,6155,69752,81673,0.07059860663866883,0.07536150257735115
2023-10-01,5911,6310,71187,83408,0.07086850182236716,0.07565221561480913
2023-11-01,5836,6188,69703,81727,0.07140846966118908,0.07571549182032866
2023-12-01,5782,6296,69115,81193,0.0712130356065178,0.07754363060855
2024-01-01,5755,6158,69324,81237,0.07084210396740402,0.07580289769440034
2024-02-01,5954,6287,69237,81478,0.07307494047472937,0.07716193328260389
2024-03-01,5814,6055,66450,78319,0.07423485999565878,0.07731201879492844
2024-04-01,5959,6192,69227,81378,0.07322617906559513,0.0760893607608936
2024-05-01,6028,6328,69493,81849,0.07364781487861795,0.07731310095419615
2024-06-01,5856,6175,69003,81034,0.07226596243552089,0.07620258163240122
2024-07-01,5963,6217,69358,81538,0.07313154602761902,0.07624665799995094
2024-08-01,6256,6197,69878,82331,0.07598595911625025,0.07526933961691222
2024-09-01,6216,6223,69305,81744,0.07604227833235466,0.07612791152867489
2024-10-01,6247,6095,69233,81575,0.07657983450812136,0.07471651854121973
2024-11-01,6186,6081,69152,81419,0.07597735172379912,0.07468772645205665
2024-12-01,6119,6101,68901,81121,0.07543052970254312,0.07520863894675854
2025-01-01,5867,6152,68370,80389,0.07298262200052245,0.07652788316809514
2025-02-01,5785,6197,67551,79533,0.07273710283781575,0.0779173424867665
2025-03-01,5644,5867,65524,77035,0.07326539884468099,0.07616018692801974
2025-04-01,5518,6066,67140,78724,0.07009298308012804,0.07705401148315634
2025-05-01,5459,6105,66704,78268,0.06974753411355854,0.07800122655491389
2025-06-01,5266,5937,66498,77701,0.06777261553905355,0.07640828303368039
