date,window,pctile,wage,n,months,wage_lag12,yoy
2025-07-01,6,p20,17.48888888888889,32868,6,16.92936507936508,0.0330504898973325
2025-08-01,6,p20,17.511111111111113,32545,6,16.97962962962963,0.0313011233504199
2025-09-01,6,p20,17.624444444444446,32193,6,17.06111111111111,0.033018560729404234
2025-10-01,6,p20,17.677777777777777,26826,5,17.09722222222222,0.033956133225020224
2025-11-01,6,p20,17.72820512820513,26736,5,17.23888888888889,0.028384441855276554
2025-12-01,6,p20,17.727777777777778,26468,5,17.344444444444445,0.02210121716848179
2026-01-01,6,p20,17.811481481481483,26401,5,17.394814814814815,0.023953498275348206
2026-02-01,6,p20,17.877777777777776,26491,5,17.43989898989899,0.025107874084156157
2026-03-01,6,p20,17.872222222222224,26569,5,17.445238095238096,0.024475683544879612
2026-04-01,6,p20,17.895061728395063,31857,6,17.46932006633499,0.024370820412210392
2026-05-01,6,p20,17.905555555555555,32052,6,17.452910052910052,0.02593524525556301
2026-06-01,6,p20,17.983333333333334,32139,6,17.466666666666665,0.029580152671755844
2026-07-01,6,p20,17.98148148148148,32289,6,17.48888888888889,0.028166031342651277
2026-08-01,6,p20,18,31982,6,17.511111111111113,0.02791878172588813
2023-01-01,6,p40,20.56543209876543,33200,6,19.492592592592594,0.055038317816201054
2023-02-01,6,p40,20.756878306878306,33020,6,19.56888888888889,0.06070806701058795
2023-03-01,6,p40,20.774603174603175,33293,6,19.655555555555555,0.05693289186788353
2023-04-01,6,p40,20.77251461988304,33203,6,19.766666666666666,0.050886068459512934
2023-05-01,6,p40,20.895555555555557,33112,6,19.86111111111111,0.05208391608391616
2023-06-01,6,p40,21.11037037037037,33118,6,19.944444444444443,0.05845868152274836
2023-07-01,6,p40,21.284444444444443,32916,6,19.993333333333332,0.06457708124930539
2023-08-01,6,p40,21.31222222222222,32932,6,20.05925925925926,0.06246307237813875
2023-09-01,6,p40,21.447777777777777,32660,6,20.205555555555556,0.06147924113280179
2023-10-01,6,p40,21.589074074074073,32799,6,20.282785602503914,0.06440380020626435
2023-11-01,6,p40,21.72222222222222,32818,6,20.31111111111111,0.0694748358862145
2023-12-01,6,p40,21.813333333333333,33030,6,20.429464285714285,0.06773888087641855
2024-01-01,6,p40,21.903333333333332,33322,6,20.56543209876543,0.06505582903109608
2024-02-01,6,p40,22.083333333333332,33520,6,20.756878306878306,0.06390436012796163
2024-03-01,6,p40,22.17222222222222,33975,6,20.774603174603175,0.06727536674816625
2024-04-01,6,p40,22.22222222222222,34022,6,20.77251461988304,0.06978970186650146
2024-05-01,6,p40,22.166017316017317,34206,6,20.895555555555557,0.06080057345610901
2024-06-01,6,p40,22.17222222222222,34310,6,21.11037037037037,0.05030001052668509
2024-07-01,6,p40,22.224691358024693,34056,6,21.284444444444443,0.044175309157560294
2024-08-01,6,p40,22.28333333333333,33933,6,21.31222222222222,0.0455659246128981
2024-09-01,6,p40,22.427777777777777,33667,6,21.447777777777777,0.04569237942288762
2024-10-01,6,p40,22.48969696969697,33601,6,21.589074074074073,0.0417166059337597
2024-11-01,6,p40,22.744444444444444,33547,6,21.72222222222222,0.04705882352941182
2024-12-01,6,p40,22.95436847103514,33676,6,21.813333333333333,0.052309068048676854
2025-01-01,6,p40,23.171111111111113,33873,6,21.903333333333332,0.05788058641505622
2025-02-01,6,p40,23.284814814814816,34000,6,22.083333333333332,0.054406708595387876
2025-03-01,6,p40,23.281111111111112,34206,6,22.17222222222222,0.050012528188424055
2025-04-01,6,p40,23.35679012345679,33993,6,22.22222222222222,0.05105555555555563
2025-05-01,6,p40,23.303650793650792,33722,6,22.166017316017317,0.051323314486965366
2025-06-01,6,p40,23.305555555555557,33422,6,22.17222222222222,0.05111500876973207
2025-07-01,6,p40,23.34567901234568,32868,6,22.224691358024693,0.050438840128874673
2025-08-01,6,p40,23.356737588652482,32545,6,22.28333333333333,0.048170722003851196
2025-09-01,6,p40,23.516666666666666,32193,6,22.427777777777777,0.04855090413673513
2025-10-01,6,p40,23.536666666666665,26826,5,22.48969696969697,0.0465533038697854
2025-11-01,6,p40,23.68477832512315,26736,5,22.744444444444444,0.041343453473905
2025-12-01,6,p40,23.70925925925926,26468,5,22.95436847103514,0.03288658492942975
2026-01-01,6,p40,23.755555555555556,26401,5,23.171111111111113,0.02522297880502533
2026-02-01,6,p40,23.868640248640247,26491,5,23.284814814814816,0.02507322641251908
2026-03-01,6,p40,23.80925925925926,26569,5,23.281111111111112,0.022685693377241023
2026-04-01,6,p40,23.875555555555554,31857,6,23.35679012345679,0.022210476240815957
2026-05-01,6,p40,23.85074074074074,32052,6,23.303650793650792,0.02347657677907722
2026-06-01,6,p40,23.868148148148148,32139,6,23.305555555555557,0.02413984902661892
2026-07-01,6,p40,23.81111111111111,32289,6,23.34567901234568,0.019936541512427075
