date,emp_nat,emp_nzd,emp_ncz,emp_for,emp_all,pop_nat,pop_all,un_nat,lf_nat,emp_nat_prime,pop_nat_prime,epop_nat_men,unrate_nat_men,epop_nat_men_prime
2017-09-01,66792.7520241998,6760.780212100012,8771.642081799997,15532.42229390002,82325.17431809944,103215.81666059945,123515.591010801,2901.1201343000007,69693.87215849952,41745.30010430061,49116.250254499995,0.6471174107339751,0.04162661715368895,0.8499284837094406
2017-10-01,66695.63628219989,6673.00795949999,8610.407247100004,15283.415206599997,81979.05148880115,103460.7454172019,123616.64098750181,2908.7175494999974,69604.35383170056,41905.764132599776,49307.170764799564,0.6446467789619341,0.04178930468247883,0.849891881497211
2017-11-01,66600.64119109961,6750.856477999991,8370.755980400007,15121.612458399997,81722.25364950023,103630.71911810151,123706.96500730234,2946.8817587000003,69547.52294979958,42029.368709100316,49415.85707070005,0.6426727688263842,0.042372202973024686,0.8505239249208657
2017-12-01,66523.31256909974,6715.919273899996,8362.179416599998,15078.09869050003,81601.41125959942,103842.50960689892,123785.95198619986,2984.1018198999986,69507.41438899998,42127.24527939985,49544.44325059945,0.6406173427522804,0.04293213675305771,0.8502920310622352
2018-01-01,66019.89465259931,6775.776213299997,8545.635023000008,15321.411236300002,81341.30588889931,103588.45827299911,124173.45299909948,3423.321063900004,69443.21571649883,41680.823740800035,49310.03920619994,0.6373286730323676,0.0492966955602355,0.8452806854706242
2018-02-01,66426.62690130057,6978.464568700007,8665.455610299989,15643.920178999997,82070.54708029979,103367.32545490042,124249.89800569954,3406.296590999999,69832.92349230028,41788.37165380031,49109.30458700018,0.6426269288575409,0.04877780308561153,0.8509257462558772
2018-03-01,66622.17226769964,7049.568749800006,8785.670272900014,15835.239022700034,82457.41129039912,103210.42645150138,124331.3599968007,3191.1207762,69813.2930438995,41736.093127299864,48925.962113299756,0.6454984690815654,0.04570935758886752,0.8530459356251384
2018-04-01,66805.44132040004,7374.133043200018,8605.128223799993,15979.261266999965,82784.7025874006,103390.59200050095,124418.41700770069,2988.508505800005,69793.94982619994,41960.91000660003,49148.874580399955,0.6461462307912538,0.04281901960330305,0.8537511868752655
2018-05-01,67676.66307930014,7212.693486599998,8463.438502100003,15676.131988700014,83352.79506799995,103856.86744590047,124509.45800329986,2832.9525175000063,70509.6155967999,42389.50032940021,49387.3935214003,0.651633972250831,0.04017824368381014,0.8583060839408786
2018-06-01,67808.90053149899,7080.362854400001,8610.546496799981,15690.909351200035,83499.80988269918,103949.69591790058,124603.6329884016,3137.063360199997,70945.9638916992,42135.50805189981,49369.63458909957,0.652324183661436,0.044217643797028444,0.8534701219199017
2018-07-01,68254.80222770016,7118.848829700015,8683.0670699,15801.915899600008,84056.71812730063,104221.1043245019,124704.06799040287,2840.7444623000006,71095.5466900002,42208.38882370015,49565.84603200033,0.6549038476428212,0.03995671451387207,0.8515619565224386
2018-08-01,67496.83133539949,7014.345428000001,8728.364931899983,15742.710359899953,83239.54169529935,104145.23015179895,124815.90999709962,2751.5349174000007,70248.36625279946,41925.80198310022,49393.383461099795,0.648102954278541,0.03916866774521393,0.848814133498655
2018-09-01,67134.93823919947,7218.0779748000095,8588.373546599987,15806.451521400024,82941.38976059922,103992.62046609924,124928.15800979962,2628.7052507000008,69763.64348989956,41935.69725709956,49196.64086229988,0.6455740603352228,0.037680160026054066,0.8524097686766152
2018-10-01,67433.68800450044,7165.51202369999,8596.289687199995,15761.801710900021,83195.48971540006,104249.92648099842,125040.61300929896,2640.1905312000026,70073.87853570055,42221.618457100194,49361.98306730022,0.6468463842685926,0.037677242738246665,0.8553468850620357
2018-11-01,67391.97831580024,7360.625770299993,8602.121957099997,15962.747727400032,83354.72604320066,104251.77769279941,125136.75998589883,2523.6490433999993,69915.62735920055,42347.23326289978,49389.893803600025,0.6464348120219627,0.03609563610771061,0.8574068498971564
2018-12-01,67242.51143179959,7188.373307600004,8515.076412700013,15703.44972029999,82945.96115209977,104378.65718209944,125226.55500509872,2931.754992800003,70174.26642459953,42224.041318199874,49399.62846199998,0.6442170578462992,0.041778206487560504,0.8547441070468813
2019-01-01,66317.0858229995,7165.600269400004,8639.53720419999,15805.137473600027,82122.22329660045,103920.08232800027,124889.74501830079,3364.9255996999955,69682.01142269972,41941.16176009965,49078.25686809941,0.6381546697940885,0.048289731180231575,0.8545772494084068
2019-02-01,66679.85832329984,7326.687552299983,8757.839278500016,16084.52683080004,82764.38515410025,103732.65061719966,124965.20000830034,3264.515393999998,69944.37371730038,41853.4476934998,49026.16449789966,0.6428049213681599,0.04667302343994736,0.8536961461729858
2019-03-01,66935.99820649988,7325.294740799994,8686.22026949999,16011.51501030002,82947.51321680054,103841.03027250005,125036.65198560058,3129.7682116000033,70065.76641809972,41957.02065170007,48908.25567900016,0.6446006750014532,0.04466900701440849,0.857871949616785
2019-04-01,67073.27314360054,7573.812497900004,8558.680503999998,16132.493001900026,83205.76614550002,103937.59572629852,125113.86600059865,2687.3072838,69760.580427401,41906.48503730019,49032.78792370052,0.6453225387301268,0.038521859585108356,0.8546624985409864
2019-05-01,67740.88977630067,7602.545084600002,8351.028123499993,15953.573208099977,83694.46298440061,104293.13051150083,125197.28901799969,2619.162814399999,70360.05259070035,42061.01924590002,49221.69195490012,0.649523985367671,0.037225140089593683,0.8545220120518989
2019-06-01,68264.16295149982,7588.490026999978,8258.402361100012,15846.892388100021,84111.05533959958,104464.9116588995,125284.59696969925,2918.893092500001,71183.05604399962,41882.39901850004,49348.0619162001,0.6534649947763997,0.041005447851182125,0.8487141620601473
2019-07-01,69233.20635829955,7672.030951799993,8121.061317899998,15793.092269700037,85026.29862799954,104675.91320979828,125377.85400859902,2899.3266466000036,72132.53300489932,42149.32163239983,49524.777299999565,0.6614053246379408,0.04019443829046012,0.8510754400181866
2019-08-01,68809.75268810029,7637.964979000015,7981.576987300018,15619.54196629995,84429.29465440025,104950.5327587996,125480.98298110033,2750.0129874999984,71559.76567560066,42459.33894499979,49682.208982699834,0.6556398607927115,0.038429597435611154,0.8546185810656051
2019-09-01,68533.10290870036,7498.50913279999,8244.917193100018,15743.426325899987,84276.52923460132,105007.82580240018,125583.40799980023,2546.7681710000033,71079.87107970082,42653.31457559995,49711.81000450033,0.652647575407031,0.03582966784146737,0.8580116992670075
2019-10-01,68553.1799732002,7407.658894399984,8181.892464899983,15589.55135930007,84142.73133249988,105310.36501369963,125686.59800849982,2577.212549300002,71130.39252250017,42808.09663179973,49860.9041323997,0.6509632737886935,0.036232227292781645,0.8585503487487496
2019-11-01,68205.4993118997,7515.55960219999,8408.018044700018,15923.577646899948,84129.07695880065,105116.89034310081,125773.02799610166,2529.1247693999962,70734.6240812998,42838.25951990009,49757.95430630012,0.648853852975268,0.03575511713320357,0.8609328923813114
2019-12-01,68158.75100260024,7212.021023500001,8369.892617300005,15581.91364080001,83740.66464340047,105233.1899697024,125852.40399090349,2657.300733700006,70816.05173630039,42823.713923700234,49842.411565100134,0.647692529535822,0.03752398882099594,0.8591822221075189
2020-01-01,67108.89412180037,7356.216142600001,8322.472319600009,15678.688462199994,82787.58258400061,104881.97331730039,125513.1030077007,3110.0523635999957,70218.94648540003,42274.06307029998,49593.14965520024,0.6398515588448668,0.044290786451013475,0.8524173875668976
2020-02-01,67238.76357229997,7536.769549100027,8331.19748969998,15867.967038799929,83106.73061110148,104754.98014829989,125575.29599030114,3147.334951800003,70386.09852409994,42022.27735889956,49556.62124839976,0.6418669878712322,0.04471529205049442,0.8479649399071272
2020-03-01,66555.42172910016,7166.955108900019,8087.990358600002,15254.945467499998,81810.3671966,105200.98413510008,125639.1520062006,3533.678130600002,70089.09985970016,41952.26896909987,49583.3556376001,0.6326501817096033,0.05041694268685846,0.8460958002867918
2020-04-01,58944.45802510033,6328.624680700004,6541.248861299997,12869.873541999985,71814.33156710057,105250.24507830026,125707.16698690089,8774.147536400022,67718.60556150053,37507.1757567,49537.38940630022,0.5600410524578728,0.12956775266778842,0.7571488164035103
2020-05-01,60830.64799429976,6464.928080499995,6655.8289801000055,13120.757060599966,73951.40505489928,105475.68645570026,125781.69400560073,7913.3452825999975,68743.99327689952,38669.67058180008,49768.11858229992,0.576726732372096,0.11511326161582133,0.7769968341851883
2020-06-01,63196.04926709992,6687.564381400005,6604.913726499995,13292.478107900028,76488.52737500002,105806.07683709897,125859.83098079824,7139.656545799995,70335.70581290037,39653.08276629959,50029.368651399476,0.5972818495519662,0.10150828037173831,0.7925961057513838
2020-07-01,63786.31379990037,6748.505442999997,7145.1084564999865,13893.613899500006,77679.92769940058,105605.3207007999,125943.50100600062,6618.581194800004,70404.89499470072,39488.09734220018,49868.64761640054,0.6040066293687911,0.09400740098111325,0.791842153931071
