yr,exp_q,grp,w,sh
2021,Q4 highest,Native men,246890880.98040107,0.31820129098576716
2021,Q4 highest,Naturalized citizens,62656179.059699915,0.39420737245017823
2021,Q4 highest,Noncitizens,93734467.17230012,0.6046676860832391
2022,Q4 highest,Native men,252886982.39589736,0.31472072380303
2022,Q4 highest,Native women,128534276.61879937,0.1741867854888633
2022,Q4 highest,Naturalized citizens,65340632.20209985,0.386194905014123
2022,Q4 highest,Noncitizens,103708607.20409974,0.5969586656974823
2023,Q4 highest,Native women,128166341.65859982,0.17097926973015887
2023,Q4 highest,Native men,252126638.0084003,0.31106177436138394
2023,Q4 highest,Naturalized citizens,69578806.37229954,0.3913864740490371
2023,Q4 highest,Noncitizens,106770846.83250067,0.5957824279338524
2024,Q4 highest,Native men,247900799.80329904,0.3093917406959227
2024,Q4 highest,Naturalized citizens,71123109.37609956,0.3932263015698186
2024,Q4 highest,Native women,128577153.53139919,0.17083452721625939
2024,Q4 highest,Noncitizens,111664131.6836007,0.5966204515126401
2025,Q4 highest,Naturalized citizens,67318216.31589983,0.38792654733390836
2025,Q4 highest,Native women,118974247.4172997,0.17102210787209035
2025,Q4 highest,Native men,230836513.86849543,0.3084590473620289
2025,Q4 highest,Noncitizens,98217664.6451003,0.5816134951805301
2026,Q4 highest,Naturalized citizens,49079211.46919986,0.3798636700727691
2026,Q4 highest,Native men,166505167.68749908,0.3102287084807616
2026,Q4 highest,Native women,86314370.20090018,0.17085230974389598
2026,Q4 highest,Noncitizens,68471579.80999991,0.5771561880413778
2015,Q3,Native women,235610383.96680146,0.33401485672977865
2015,Q3,Native men,268787372.2491044,0.355461736167172
2015,Q3,Naturalized citizens,48355407.85449989,0.3418052885057532
2015,Q3,Noncitizens,38234617.87039991,0.24882206542936933
2016,Q3,Native women,240615845.08989733,0.33689127735452257
2016,Q3,Native men,269454398.3630011,0.35033319247351413
2016,Q3,Naturalized citizens,49513423.33439991,0.3385079069007585
2016,Q3,Noncitizens,38554390.23430013,0.24234556234995086
2017,Q3,Native women,243336992.8838992,0.3364993535229099
2017,Q3,Native men,273596298.0239973,0.35159862002192643
2017,Q3,Naturalized citizens,49868011.73390022,0.33345059602423904
2017,Q3,Noncitizens,37937902.87790016,0.23514748171539623
2018,Q3,Native women,247922478.52140015,0.3385848252017485
2018,Q3,Native men,281397533.37320036,0.3569568090173172
2018,Q3,Naturalized citizens,54579262.55899994,0.34458440643790456
2018,Q3,Noncitizens,39927272.95959995,0.24231816645745605
2019,Q3,Naturalized citizens,56280017.08650002,0.3431431434810501
2019,Q3,Native men,283933626.1260007,0.3565779878784037
2019,Q3,Native women,251695101.38439977,0.33874581188187153
2019,Q3,Noncitizens,40858932.20230003,0.2521133211990229
2020,Q3,Native women,236989497.46030095,0.33692365078785863
2020,Q3,Native men,275097701.3664042,0.3624700426539443
2020,Q3,Noncitizens,37428843.980700046,0.26110825321953796
2020,Q3,Naturalized citizens,53280910.66470035,0.35148030283433696
2021,Q3,Native women,244709484.56959948,0.3388057889290179
2021,Q3,Native men,280107009.6791989,0.3610113574877612
2021,Q3,Naturalized citizens,54168186.4073,0.3408043508951799
2021,Q3,Noncitizens,39545315.200200155,0.25510119125746356
2022,Q3,Native women,248965482.5627014,0.33739247028942193
2022,Q3,Native men,289670360.1670997,0.36049805550431135
2022,Q3,Noncitizens,44987150.33850003,0.2589512091966595
2022,Q3,Naturalized citizens,59150862.68279998,0.34961035768113125
2023,Q3,Native men,291372567.19650024,0.359481522731268
2023,Q3,Native women,252909140.95720392,0.3373913905113249
2023,Q3,Naturalized citizens,61896466.482999854,0.34817268412526636
2023,Q3,Noncitizens,46956838.94509988,0.26201964623075996
2024,Q3,Native women,251503876.15729865,0.3341615877808056
2024,Q3,Naturalized citizens,61696358.98600016,0.34110757076294684
2024,Q3,Noncitizens,48674434.542099945,0.2600670660827342
2024,Q3,Native men,290502283.3785007,0.362560375770996
2025,Q3,Noncitizens,45558738.39220006,0.26978423044417954
2025,Q3,Native women,231779215.4404009,0.333176051507369
2025,Q3,Native men,270619801.2346982,0.36162011237837055
2025,Q3,Naturalized citizens,58852869.998500034,0.33914431945246204
2026,Q3,Native men,193195932.544301,0.35995834525353687
2026,Q3,Native women,169103201.78449953,0.33472610114310425
2026,Q3,Naturalized citizens,43896785.967099905,0.33975269208075665
2026,Q3,Noncitizens,32367456.29080002,0.272829657811777
